"id","affiliation","alias","dataversetype","description","facetroot","guestbookroot","metadatablockroot","name","permissionroot","templateroot","themeroot","defaultcontributorrole_id","defaulttemplate_id","storagedriver","metadatalanguage","externallabelsetname","metadatablockfacetroot","filepidsenabled","guestbookatrequest","pidgeneratorspecs"
"198","ÖGPW - Österreichische Gesellschaft für Politikwissenschaft","OZP","JOURNALS","The OZP is published by the Austrian Political Science Association (ÖGPW) four times a year since 1972. It is the main political science journal in Austria, indexed in the Social Science Citation Index (SSCI), in SCOPUS and ERIH plus.",False,False,False,"Österreichische Zeitschrift für Politikwissenschaft",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"206","University of Oxford","reminder","RESEARCH_PROJECTS","<h2>Role of European Mobility and its Impacts in Narratives, Debates and EU Reforms (REMINDER)</h2> 
REMINDER brings a multidisciplinary approach to understanding free movement in Europe. A consortium of 14 organisations, the project combines expertise from different fields including: development, economics, linguistics, media studies, political science and public policy. ",False,False,False,"REMINDER",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"207","SWS","SWS","ORGANIZATIONS_INSTITUTIONS","Data from the Sozialwissenschaftliche Studiengesellschaft.",False,False,False,"Sozialwissenschaftliche Studiengesellschaft (SWS)",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"490","Zentrum für Soziale Innovation (ZSI)","zsi","ORGANIZATIONS_INSTITUTIONS","<h3>Zentrum für Soziale Innovation (ZSI)</h3> 
ZSI is a private non-profit institute for applied social sciences based in Vienna (Austria).
ZSI implements research and application projects on the social embedding and impact of all types of innovations and contributes to the design and diffusion of socially accepted and sustainable innovations to meet global challenges.",False,False,False,"ZSI",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"541","GfK – Growth from Knowledge – Gesellschaft für Konsumforschung","gfk","ORGANIZATIONS_INSTITUTIONS","<h3>About the GfK studies</h3><br/>
In this Dataverse you can find studies by the social science department of the market research institute GfK Austria. There are several thousand studies collected from the years 1952 to 2005. We are constantly working on making more metadata information of studies available. The accompanying files will then be digitised on-demand.",False,False,False,"GfK Austria",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"549","International Centre for Migration Policy Development","icmpd","RESEARCH_PROJECTS","The International Centre for Migration Policy Development (ICMPD) is an international organisation with 17 Member States and about 300 staff members. Active in more than 90 countries worldwide, it takes a regional approach in its work to create efficient cooperation and partnerships along migration routes. Priority regions include Africa, Central and South Asia, Europe and the Middle East. Its three-pillar approach to migration management – structurally linking research, migration dialogues and capacity building – contributes to better migration policy development worldwide. The Vienna-based organisation has a mission in Brussels, a regional office in Malta and project offices in several countries. ICMPD receives funding from its Member States, the European Commission, the UN and other multilateral institutions, as well as bilateral donors. Founded in 1993, ICMPD holds UN observer status and cooperates with more than 200 partners including EU institutions and UN agencies.",False,False,False,"ICMPD",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"585","SORA - Institute for Social Research and Consulting","sora","ORGANIZATIONS_INSTITUTIONS","<p><b>SORA Institute for Social Research and Consulting</p></b> <br /> <p>The SORA Institute was founded in 1996 by Christoph Hofinger and Günther Ogris and is one of the leading private social science institutes in Europe.</p><br /> 
<p>SORA stands for excellent method know-how in both quantitative-statistical and qualitative terms. With precise extrapolations and election analyzes, the SORA Institute has achieved a high reputation beyond Austria. In addition, the SORA experts investigate in research and consulting projects what politics and society, for example, can do to improve the quality of life, the living situation, job satisfaction and career entry of young people.</p>",False,False,False,"SORA",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"696","University of Vienna","reconnect","RESEARCH_PROJECTS","RECONNECT is a four-year multidisciplinary research project on ‘Reconciling Europe with its Citizens through Democracy and the Rule of Law’, aimed at understanding and providing solutions to the recent challenges faced by the European Union (EU).",False,False,False,"RECONNECT",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"1158","AUSSDA - The Austrian Social Science Data Archive","covid19","UNCATEGORIZED","<h3>Social Science Data on Coronavirus Disease</h3>
<p>Your information hub for SARS-CoV-2 / COVID-19 pandemic related studies in Austria in the social sciences. Studies will be made available as fast as possible. Thus, not all information is available in English. Some studies will be published as pre-releases meaning that these are not the final datasets. Researchers therefore are obliged to check the most recent version before publishing and must add a disclaimer that they have been publishing with a pre-release version. Pre-release datasets are likely to be updated and substantial changes can happen as part of the continuing quality checks (e.g., weighting variables might change).</p>",False,False,False,"COVID-19 Pandemic",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"3642","AUSSDA-accredited self-depositors from different insitutions","self-deposit","UNCATEGORIZED","In this dataverse, AUSSDA-accredited self-depositors share their datasets directly with users.",False,False,True,"Self-Deposit",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"5831","University of Graz","grazias","RESEARCH_PROJECTS","<p><i>GrazIAS (Graz Scale of Interaction Quality) is a tool for surveying the quality of interaction between educational staff and children in day care centers. It is used in Austria, Germany and other countries. The data collected using the online tool is being stored centrally and made available in anonymized form for scientific purposes. The data set contains data on interaction quality from various studies and is  being expanded with further studies.",False,False,False,"GrazIAS",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"6312","Wirtschaftsuniversität Wien","imagestudies","RESEARCH_PROJECTS","The country image of Austria in comparison with Germany's and Switzerland's in the world. The studies evaluate Austria's image and its comparison countries - Germany and Switzerland – among educational elites and was part of the project »Austria's image in the world«. A method called »Non-verbal Image Measuring« was applied in the surveys: In addition to verbal items, pictures and pieces of music were used to measure the images of the three countries.",False,False,False,"Image Studies",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"7218",NULL,"teaching","UNCATEGORIZED","In this dataverse you find data that is particularly useful for teaching. Identified by members of AUSSDA's User Advisory Board and educators teaching social science research methods we can vouch for the usability of these data in your courses.",False,False,False,"Teaching and Learning",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"7288","Österreichisches Institut für Familienforschung","ggp","RESEARCH_PROJECTS","The GGS (Generations & Gender Programme) is an international panel survey. It provides insight on family compositions, fertility behaviour, life trajectories and gender roles.",False,False,False,"GGP",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"7554",NULL,"qualitative","UNCATEGORIZED","Explore scientific depths with qualitative data from AUSSDA. In this dataverse you will find data collected using qualitative research methods. Each data set offers unique insights, enables in-depth analyses and supports researchers in gaining profound knowledge and embarking on innovative research paths.",False,False,False,"Qualitative Data",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"8135","Statistics Austria, Institute for Advanced Studies","asep","RESEARCH_PROJECTS","<p>
The Austrian Socio-Economic Panel (ASEP) is a multi-topic, large-scale, annually conducted, ongoing longitudinal survey, which collects data on the household and individual level, representative for the Austrian population living in private households. As the ASEP aims to enable research for all social science disciplines, its topics are very broad. They range from family, work, income, housing, education, and health to attitudes, values, and behaviors regarding different aspects of personality, life, and society. 
</p>

<p>
ASEP is divided into two phases. To develop and test the long-term survey design, a pilot study is currently carried out. 3000 households have been invited to this pilot study, which consists of two survey waves: an initial survey, called Pilot Wave 1 (2023), and a follow-up survey with the same households, called Pilot Wave 2 (2024). After this, the so-called main survey is planned to start in 2025 with a new gross sample of approx. 12000 households, which will then be invited to the survey annually.
</p>

<p>
For more information on the Austrian Socio-Economic Panel (ASEP), please visit <a href = ""https://www.statistik.at/asep"">www.statistik.at/asep</a>.

 ",False,False,False,"ASEP",True,False,True,"6",NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
